taxi_group_name,driver_full_name,disabled,deleted,vehicle_brand,experience_group,awards,endurance_score,profitability_score,safety_adherence_score,efficiency_score,no_of_1_star_rating,no_of_2_star_rating,no_of_3_star_rating,no_of_4_star_rating,no_of_5_star_rating
"White, Davey and Jones",Edward Bray,0,1,11,2,0,-0.849147,-0.897645,-1.04154,-0.627557,25,32,60,2,6
"White, Davey and Jones",Kerry Jones,0,0,12,4,0,0.530084,0.0665774,-0.046558,0.834857,1,24,23,35,32
"White, Davey and Jones",Damian Barrett,0,0,1,4,1,-0.0434883,0.24844,0.484051,1.95908,3,7,1,61,59
"White, Davey and Jones",Francesca Gray,0,0,9,5,0,0.170175,0.463957,1.86827,-1.73741,14,29,45,10,9
"White, Davey and Jones",Emily Walker,0,0,2,5,1,1.1582,2.18301,1.43598,0.831165,4,12,11,50,41
"White, Davey and Jones",Harriet Bolton,0,0,5,6,0,1.09916,1.42379,0.0335382,-0.39479,15,31,46,12,12
"White, Davey and Jones",Rachael Walters,0,0,6,2,0,-0.409149,-0.372231,-0.508296,0.429156,13,17,33,24,32
"White, Davey and Jones",Shaun Smith,0,0,12,5,0,-1.04713,-0.630875,-0.978758,-0.542607,16,25,24,36,32
"White, Davey and Jones",Owen Lees,0,0,8,2,0,-0.319505,-0.535672,-0.456339,0.536112,22,40,39,14,17
"White, Davey and Jones",Lucy Wood,0,0,12,1,0,-1.1471,-1.04355,-1.14873,-0.505378,3,0,3,65,52
"White, Davey and Jones",Kathleen Williams,0,0,0,3,0,-1.16867,-1.53949,-1.27271,-0.207596,1,10,11,45,51
"White, Davey and Jones",Cheryl Griffiths,0,0,13,1,0,-0.387191,0.089954,-0.11355,0.489331,12,32,41,27,20
"White, Davey and Jones",Alice Howarth,0,0,0,2,0,-1.07877,-1.73644,-1.47127,-0.41833,10,26,38,43,27
"White, Davey and Jones",Donald Walker,0,0,3,4,0,-0.887957,-0.373265,-1.31145,-0.81451,15,13,27,38,24
"White, Davey and Jones",Marilyn Thornton,0,0,4,6,0,-1.03559,-1.18805,-1.09726,-0.984461,6,8,13,49,47
"White, Davey and Jones",Sylvia Morgan,0,0,0,2,0,-0.798696,-0.387327,0.503982,-1.78157,7,18,31,46,30
"White, Davey and Jones",Janet Davies,0,0,16,3,0,-0.682677,-0.257118,0.834795,-1.38181,10,28,44,24,31
"White, Davey and Jones",Hilary Fitzgerald,0,0,3,1,0,-0.362328,-0.903077,-0.0774991,2.49552,6,13,29,32,36
"White, Davey and Jones",Ian Fox,0,0,6,2,0,-0.866918,-0.169882,-1.21228,0.43359,5,11,14,60,60
"Rhodes, Simpson and Thomson",Ian Morgan,0,0,1,6,0,0.747601,0.349866,0.497479,0.112305,9,21,41,16,16
"Rhodes, Simpson and Thomson",Julia Chapman,0,0,3,6,0,-0.126596,-0.73038,-0.454871,1.15816,2,6,9,55,54
"Rhodes, Simpson and Thomson",Sheila Robinson,0,0,12,5,0,-0.280721,-0.0787607,-0.417387,-0.199288,18,30,58,27,19
"Rhodes, Simpson and Thomson",Stacey Hill,0,0,2,5,0,0.281763,2.11738,0.545597,1.01726,12,25,30,28,32
"Rhodes, Simpson and Thomson",Hannah Brown,0,0,14,5,0,-0.546121,-0.775731,-0.598309,-1.26061,5,35,36,16,16
"Rhodes, Simpson and Thomson",Anthony Clark,0,0,3,4,0,-0.826735,-0.514419,0.998386,0.699715,4,12,20,37,42
"Rhodes, Simpson and Thomson",Liam Stanley,0,0,12,2,0,-0.0103504,0.00239248,-0.341251,0.497802,17,51,45,3,14
"Rhodes, Simpson and Thomson",Iain Patel,0,0,15,1,0,-1.32358,-1.20731,0.856474,-1.11466,20,33,53,13,9
"Rhodes, Simpson and Thomson",Josh Allen,0,0,2,5,0,-0.0886438,1.18902,-0.178424,0.0179907,9,33,42,29,27
"Rhodes, Simpson and Thomson",Rhys Jackson,0,0,9,2,0,-1.31674,-1.42161,-1.03911,-0.668624,9,18,32,34,30
"Rhodes, Simpson and Thomson",Eric Reynolds,0,0,6,1,0,-1.27855,-1.07043,-1.10692,-0.126252,14,22,39,24,26
"Rhodes, Simpson and Thomson",Judith Foster,0,0,17,2,0,-0.137908,0.534403,0.0455944,0.525972,12,26,44,18,20
"Rhodes, Simpson and Thomson",Suzanne Owen,0,0,13,4,0,-0.894127,-0.546442,-1.04211,-0.638419,0,8,19,46,43
"Rhodes, Simpson and Thomson",Joanne O'Neill,0,0,14,2,0,-1.21371,-0.983738,-0.863416,0.15184,14,36,44,16,15
"Rhodes, Simpson and Thomson",Eric Barlow,0,0,0,3,0,-0.708834,-1.28936,-0.53002,-1.85109,13,34,25,34,36
"Rhodes, Simpson and Thomson",Rebecca Wheeler,0,0,13,5,0,-0.690324,-0.989553,-0.302392,-0.192042,5,2,6,64,54
"Rhodes, Simpson and Thomson",Joyce Chambers,0,0,9,6,0,-0.31175,-0.118821,0.660493,-0.392876,21,43,60,15,12
"Rhodes, Simpson and Thomson",Mandy Barton,0,0,3,4,0,-0.663186,-0.504124,1.06387,0.68789,6,8,15,53,37
"Rhodes, Simpson and Thomson",Molly Jenkins,0,0,15,5,0,-0.517003,0.98349,-1.00186,-0.0317451,14,46,41,26,20
"Rhodes, Simpson and Thomson",Patrick Robertson,0,1,17,1,0,1.05523,-0.152662,1.20968,-1.23102,19,21,55,12,13
"Rhodes, Simpson and Thomson",Adrian Robson,0,0,17,1,0,-1.45465,-1.24388,-0.052558,-0.316272,5,3,12,55,49
"Rhodes, Simpson and Thomson",Edward Harris,0,0,6,4,1,0.877513,0.2673,1.06343,0.343001,4,10,21,54,59
"Rhodes, Simpson and Thomson",Darren Burke,0,0,1,5,0,-0.222496,1.39493,0.886126,0.154738,12,17,21,23,34
"Rhodes, Simpson and Thomson",Justin Coates,0,0,6,2,0,-0.399149,-0.399231,-0.486296,0.434156,13,18,32,26,36
"Rhodes, Simpson and Thomson",Susan Murray,0,0,13,3,0,0.0748832,-1.15904,-0.581544,-0.962219,12,19,33,23,31
"Rhodes, Simpson and Thomson",Alison Connolly,0,0,9,3,0,0.0133753,1.08785,-0.470339,-0.453465,17,38,56,13,11
"Rhodes, Simpson and Thomson",William King,0,0,0,5,0,-1.1224,-0.666255,0.721813,-0.760887,17,29,43,21,20
"Rhodes, Simpson and Thomson",Marc Woodward,0,0,1,2,0,-0.265035,0.123478,-0.956055,0.859701,15,18,29,36,33
"Rhodes, Simpson and Thomson",Rebecca Freeman,0,0,10,4,0,1.70297,1.9533,1.74571,-0.924046,23,27,44,22,15
"Rhodes, Simpson and Thomson",Steven Anderson,0,0,12,1,0,-1.45012,-0.614391,-1.22629,0.131978,-1,1,3,70,45
"Rhodes, Simpson and Thomson",Christine Barker,0,0,17,3,0,3.94768,0.288529,-0.960705,-0.331169,6,29,33,29,17
"Rhodes, Simpson and Thomson",Paige Taylor,0,0,12,5,0,1.25701,1.61173,0.540618,2.14834,5,18,21,48,47
"Rhodes, Simpson and Thomson",Tracy White,0,0,9,4,0,1.0121,0.86257,1.0534,-0.499587,17,35,44,11,25
"Rhodes, Simpson and Thomson",Charlotte Campbell,0,0,9,4,0,0.818188,0.484404,-0.0319296,-0.35179,12,38,52,8,8
"Rhodes, Simpson and Thomson",Ronald Cook,0,0,9,3,0,0.046786,1.00943,0.132199,2.57102,3,8,0,58,54
"Rhodes, Simpson and Thomson",Lorraine Kennedy,0,0,15,3,0,0.589172,0.13416,0.795856,-0.850475,19,43,41,9,6
"Rhodes, Simpson and Thomson",Ian Kirk,0,0,11,3,0,0.426055,1.24246,0.266544,1.1148,11,17,24,45,35
"Rhodes, Simpson and Thomson",Adam Hall,0,0,6,6,0,-0.354611,-0.584872,-0.505135,0.163757,12,29,37,22,18
"Rhodes, Simpson and Thomson",Karl Smith,0,0,13,5,0,0.395448,0.56083,0.324795,0.223205,14,22,32,26,26
"Rhodes, Simpson and Thomson",Ruth Gordon,0,0,12,2,0,0.865934,-1.55367,-1.85726,-1.75754,19,33,55,6,1
"Rhodes, Simpson and Thomson",Ashleigh Edwards,1,0,12,3,0,0.210793,1.15376,-0.542151,0.748995,7,17,24,51,41
"Rhodes, Simpson and Thomson",Gerard Moss,0,0,4,1,0,1.07418,-0.266748,0.0583111,-0.310446,25,28,56,8,12
"Rhodes, Simpson and Thomson",Jay Bates,0,0,3,6,0,-0.908557,-1.28035,-1.35382,0.026252,13,30,44,31,29
"Rhodes, Simpson and Thomson",Clare Pearson,0,0,9,4,0,-0.543923,-0.334667,-0.268702,-1.19331,2,3,5,60,68
"Rhodes, Simpson and Thomson",Bernard Jones,0,0,2,3,0,-0.184593,0.465015,0.893629,-0.591521,16,29,44,18,22
"Rhodes, Simpson and Thomson",Henry Houghton,0,0,17,5,0,1.22373,-0.492091,-0.194526,-0.213892,18,29,41,17,24
"Rhodes, Simpson and Thomson",Allan Dean,0,0,9,5,0,-0.884427,-1.13015,-0.55647,-0.14784,1,3,10,61,55
"Rhodes, Simpson and Thomson",Leanne West,0,1,12,3,0,0.0848064,-0.309224,-0.205489,0.142807,8,19,23,44,35
"Rhodes, Simpson and Thomson",Pauline Rees,0,0,17,5,0,-0.572796,0.012381,0.851487,-1.50389,4,45,40,8,21
"Rhodes, Simpson and Thomson",Gary Page,0,0,17,4,0,-0.197447,-0.445744,-0.242216,-0.689006,21,35,63,3,16
Welch Group,Gregory Taylor,0,0,8,5,0,-0.790343,-1.4582,-0.605619,-1.56251,20,37,60,7,13
Welch Group,Gregory Johnson,0,0,7,5,1,0.321891,1.14613,-0.166333,1.54961,-3,7,10,57,53
Welch Group,Amy Griffiths,0,0,13,4,0,-0.777127,-0.453442,-1.12111,-0.586419,4,9,23,47,42
Welch Group,Vanessa Brown,0,0,9,6,0,2.10426,0.609259,-0.422173,-0.0173004,12,20,52,21,26
Welch Group,Marilyn Fletcher,0,0,2,4,0,1.4541,2.90346,1.29634,0.833133,7,13,12,44,54
Welch Group,Mandy Kirk,0,0,14,3,1,-0.758382,2.20162,-0.674526,2.73091,5,7,10,68,65
Welch Group,Hannah King,0,0,9,1,0,-0.912821,-0.91594,-0.648849,-1.35702,4,13,13,50,46
Welch Group,Marcus Jones,0,0,12,1,0,0.273519,0.722814,0.592263,1.43812,6,7,5,61,47
Wallace-White,Jeremy Knowles,0,0,6,1,0,0.251567,1.65282,1.19584,1.05749,3,9,3,63,54
Wallace-White,Maurice Pugh,0,0,17,1,0,-0.841246,0.457033,3.35447,0.136665,17,30,42,10,9
Wallace-White,Max Lambert,0,0,13,1,0,0.377457,0.781901,0.0192895,0.576665,14,30,31,30,20
Wallace-White,Daniel Kennedy,0,0,3,1,0,-0.0965946,-0.417899,-0.394766,2.22441,11,18,33,33,33
Wallace-White,Gerald Thompson,0,0,3,4,0,-0.811108,-0.906183,0.165701,0.749184,7,13,23,39,52
Wallace-White,Eleanor Nicholson,0,0,10,3,0,-0.447209,-0.345964,0.970038,0.164036,15,39,38,28,36
Wallace-White,Carl Cole,0,0,13,1,0,-1.13612,-0.395803,0.607097,-1.16755,23,35,56,10,8
Wallace-White,Adrian Fowler,0,0,0,5,0,-0.380171,0.678797,0.475947,1.42163,6,24,37,22,4
Wallace-White,Dylan Webster,0,0,5,5,0,0.234831,0.126067,-0.664726,-1.07507,11,30,40,23,24
Wallace-White,Sian Taylor,0,0,12,1,0,-0.292455,-0.5532,-0.575304,0.147373,13,37,26,27,22
Wallace-White,Catherine Singh,0,0,10,1,0,-0.377524,0.122683,1.1852,-0.76751,23,31,60,14,14
Wallace-White,Sandra Barnes,0,0,14,2,1,1.41287,0.403806,1.73851,1.42398,3,15,36,30,41
Wallace-White,Joanna Kaur,0,0,10,5,0,1.08825,1.09896,0.155137,0.840273,4,21,22,30,35
Wallace-White,Ross Rees,0,0,9,1,0,0.430881,0.722437,-0.311742,0.121908,5,30,41,25,25
Wallace-White,Katherine Booth,0,0,17,4,0,1.5728,0.157956,-0.21751,-1.00379,29,49,59,12,10
Wallace-White,Hollie Holmes,0,0,8,4,0,-0.877271,0.668947,1.98165,-0.787752,19,34,48,12,11
Wallace-White,Bethan Knight,0,0,16,2,0,0.157931,1.47815,4.98939,-1.27233,25,46,54,8,12
Wallace-White,Vincent Ali,0,0,16,3,0,0.0470226,0.955505,3.45792,-0.690729,16,26,65,17,16
Wallace-White,Charlene Coles,0,0,4,6,0,1.2,-0.119322,0.0282282,-1.25508,20,37,67,3,5
Wallace-White,Neil Davis,0,0,1,5,0,-0.675205,-0.461464,-0.787296,-1.01595,-1,7,5,55,59
Wallace-White,Mark West,0,0,17,1,0,-1.009,-0.287915,-0.496734,-0.11784,2,11,26,46,32
Wallace-White,Clare Brown,0,0,6,5,0,-0.784931,-0.804109,-0.86983,-0.212613,2,10,12,52,56
Wallace-White,Martin Parry,0,0,9,2,0,-0.307485,-0.609353,0.251704,-0.333202,14,20,53,18,14
Wallace-White,Dorothy Kelly,0,0,10,5,0,-0.289679,0.189844,-1.10363,-0.103643,-1,5,9,60,41
Wallace-White,Duncan Burke,0,0,15,3,0,-0.88888,0.540173,-0.687253,0.326828,18,30,54,9,17
Wallace-White,Thomas Coles,0,0,10,1,0,-1.35964,0.0729127,-0.723868,1.83702,12,21,29,41,26
Wallace-White,Bruce Wade,0,0,0,2,0,0.474919,3.20147,1.22096,0.328138,11,10,20,42,53
Wallace-White,Ruth Davies,0,0,15,6,1,-0.853363,0.741427,2.46182,-0.700455,2,11,12,45,32
Wallace-White,Laura White,0,0,0,3,0,0.0292186,-0.620967,-0.3842,-0.309616,13,21,44,24,24
Wallace-White,Marie Gilbert,0,0,14,5,0,0.226148,-0.0904157,0.0246317,-0.966427,20,49,70,13,7
Wallace-White,Norman Collins,0,0,6,3,0,-0.850664,-0.552659,-1.1043,-0.821956,3,4,3,51,70
"Day, Blake and Burke",Glenn Ferguson,0,0,17,5,0,-0.795617,-0.915522,-1.1562,-0.185133,16,32,41,23,18
"Day, Blake and Burke",Sharon Smith,0,1,4,2,0,-0.654354,-1.13182,0.294642,-0.935496,17,40,56,1,2
"Day, Blake and Burke",Rosie Rahman,0,0,9,4,1,1.18748,0.729638,0.0124608,2.06077,1,3,13,58,58
"Day, Blake and Burke",Helen Roberts,0,0,15,4,0,-1.56061,-1.14022,1.45891,-1.36034,14,24,34,23,25
"Day, Blake and Burke",Shirley Fisher,0,0,2,5,0,0.296763,2.05238,0.446597,0.931261,12,30,28,29,32
"Day, Blake and Burke",Brandon Houghton,0,0,5,6,0,0.265918,0.465774,-0.0247691,1.62302,11,19,45,25,24
"Day, Blake and Burke",John Williams,0,0,3,5,1,0.302144,0.847622,-0.0846542,1.1273,3,6,8,51,59
"Day, Blake and Burke",Zoe Robson,0,0,15,6,1,-0.830363,0.593427,2.44582,-0.580455,1,14,12,49,33
"Day, Blake and Burke",Kathleen Clark,0,0,6,1,0,-1.30255,-1.07443,-1.02492,-0.209252,12,21,41,21,28
"Day, Blake and Burke",Mary Wright,0,0,17,5,0,0.057355,0.480377,-0.29693,1.0121,7,10,21,51,42
"Day, Blake and Burke",Linda Bradley,0,0,6,2,0,-0.924918,-0.129882,-1.27028,0.42659,5,6,11,59,58
"Elliott, Rees and Yates",David Johnson,0,0,3,4,0,-0.739108,-0.945183,0.0707014,0.863184,6,17,28,39,53
"Elliott, Rees and Yates",Ryan Smith,0,0,6,4,0,-0.177448,-0.0701162,-0.64521,0.433831,8,20,39,25,19
"Elliott, Rees and Yates",Sara Walters,0,0,14,2,0,-0.866186,-0.129503,-0.906269,-0.683662,7,16,25,41,41
"Elliott, Rees and Yates",Kathleen Griffin,0,0,13,3,0,0.0798832,-1.03504,-0.761544,-1.02422,9,18,33,21,26
"Elliott, Rees and Yates",Sally Thornton,0,0,4,2,0,0.862797,1.18022,0.0816533,-0.814682,17,41,55,12,9
"Elliott, Rees and Yates",Kathryn Smith,0,0,0,4,0,-0.345405,0.0888848,1.03504,-1.08178,19,42,47,6,15
"Elliott, Rees and Yates",Roger Mills,0,0,9,4,0,-0.370837,-0.625017,-0.844424,-0.903323,16,28,37,10,16
"Elliott, Rees and Yates",Joan Thornton,0,0,8,6,0,0.205069,0.543218,1.62131,0.0762333,4,9,10,50,46
"Elliott, Rees and Yates",Adrian Lee,0,0,9,6,0,-0.524266,-0.559292,-0.27448,-0.968638,4,8,11,62,46
"Elliott, Rees and Yates",Leah Clark,0,0,15,4,0,-0.422425,-0.778669,2.18978,-0.980564,2,4,11,57,57
"Elliott, Rees and Yates",Russell Hudson,0,0,17,4,0,-0.809038,-0.96655,-0.61067,-0.100131,15,22,50,11,14
"Elliott, Rees and Yates",Kayleigh Thompson,0,0,11,5,0,0.989531,0.915214,0.188865,-0.591042,12,20,48,15,18
"Elliott, Rees and Yates",Shirley Harrison,0,0,6,1,0,-0.479375,-0.189919,-0.926213,-0.286687,7,10,9,49,37
"Elliott, Rees and Yates",Paul Watkins,0,0,11,5,0,-0.0125682,-0.954214,-1.47734,1.2963,17,31,42,13,27
"Elliott, Rees and Yates",Bernard Sanderson,0,0,14,1,0,0.649161,-0.196167,-0.136077,-0.0808342,21,33,54,14,16
"Elliott, Rees and Yates",Paige Clarke,0,0,5,3,0,-1.63326,-1.27401,-0.566758,-0.222444,24,32,48,24,24
"Elliott, Rees and Yates",Emily Stone,0,0,0,3,0,-0.257593,0.367485,-1.02637,3.12026,18,28,42,17,11
"Elliott, Rees and Yates",Roy Robinson,0,0,17,2,0,1.19858,-0.935015,0.214618,-0.728007,15,47,46,6,9
King-Parsons,Brian Marshall,0,0,17,1,0,0.467329,0.358192,-0.36732,0.0406996,13,22,23,19,38
King-Parsons,Dale Matthews,0,0,15,6,0,2.1195,-0.140976,-0.0754189,-0.316549,17,33,47,18,8
King-Parsons,Frances Robinson,0,0,12,6,0,0.672241,-0.668408,0.0609207,0.34995,16,21,32,16,27
King-Parsons,Grace Thornton,0,0,14,2,0,4.68885,-1.46363,-0.440814,-1.14724,7,30,51,12,16
King-Parsons,Guy Patel,0,0,6,2,1,1.39885,1.48663,0.542886,0.785648,1,7,11,65,45
King-Parsons,Joshua Baldwin,0,0,14,6,1,0.434781,2.44736,-0.470178,0.361915,17,18,27,31,28
King-Parsons,Heather Taylor,0,0,6,3,0,0.346682,2.56438,0.193929,0.99373,6,7,24,39,43
King-Parsons,Jacob Williams,0,0,3,3,0,-0.0593315,-0.166649,-0.412922,1.27609,7,23,24,40,36
King-Parsons,Annette Bruce,0,0,14,5,1,1.27917,0.745933,0.936859,1.13156,5,4,1,58,55
King-Parsons,Jamie Kelly,0,0,12,1,0,-0.0683014,-0.662474,-0.129109,-0.925427,10,22,26,35,33
King-Parsons,Annette Curtis,0,0,15,2,0,0.106217,0.732118,1.34306,-1.2994,6,33,47,21,20
King-Parsons,Arthur Campbell,0,0,17,3,0,-0.63755,0.0851072,1.00333,-0.554624,19,30,35,31,17
King-Parsons,Jemma Green,0,0,17,1,0,0.427615,0.222528,0.860019,0.324948,14,31,33,23,34
King-Parsons,Conor Pickering,0,0,8,6,0,-1.07198,-0.355673,-0.741986,-1.02732,14,21,16,32,32
King-Parsons,Bradley Chadwick,0,0,17,5,0,-0.502796,-0.042619,0.944487,-1.62389,6,44,44,8,23
King-Parsons,Hollie Williams,0,0,12,3,0,0.333096,-0.205474,-0.466812,1.05269,15,19,37,14,18
King-Parsons,Clive Gardiner,0,0,17,2,0,-0.710714,-0.506635,-0.308349,-0.916616,1,6,5,48,52
King-Parsons,Ashleigh Booth,0,0,5,2,0,-0.733029,0.588509,0.74907,0.127667,23,40,49,5,11
King-Parsons,Donna Wilson,0,0,0,3,0,-1.58944,-0.989211,0.604399,-1.0296,5,6,6,67,69
King-Parsons,Diane Goddard,0,0,15,5,0,-0.591003,1.07249,-1.00686,0.0822549,11,40,35,23,21
King-Parsons,Debra Hardy,0,0,1,4,1,-0.0194883,0.31844,0.506051,2.03608,7,7,3,57,61
King-Parsons,Katy Clarke,0,1,13,6,0,-0.848832,-0.648676,-0.476675,-1.33675,17,20,30,28,40
King-Parsons,Stanley Pickering,0,0,17,1,0,-0.706323,-0.776634,-0.730376,-0.421706,2,8,8,47,54
King-Parsons,Christian Cole,0,0,5,3,0,-0.263229,-0.582412,0.103273,0.33654,14,25,46,21,24
King-Parsons,Gemma Harvey,0,0,0,4,0,-0.309365,-0.648934,0.364375,-1.03471,15,31,57,7,12
King-Parsons,Albert Connor,0,0,9,2,0,0.26993,0.125974,0.701685,-0.665211,6,31,48,13,26
King-Parsons,Liam Morgan,0,0,10,4,0,1.61289,0.963887,1.51329,-0.738231,17,30,53,14,16
King-Parsons,Henry Thompson,0,0,6,1,0,0.285215,0.21757,0.0460516,1.18725,11,21,26,36,25
King-Parsons,Jenna Johnson,0,0,0,1,0,-0.134732,0.302652,-1.17482,0.314688,15,38,58,8,8
King-Parsons,Yvonne Davies,0,0,0,2,0,0.0157061,2.23548,2.19336,0.30107,8,15,26,37,39
King-Parsons,Kayleigh Ahmed,0,1,16,5,0,-0.274955,0.714471,1.27886,0.727167,18,38,42,10,16
King-Parsons,Carole Perkins,0,0,2,1,0,-0.287297,0.243323,-0.219523,-0.0283004,15,20,40,11,32
King-Parsons,Debra Taylor,0,0,8,3,0,-1.0961,-0.305043,1.8039,-1.41643,17,43,56,5,11
King-Parsons,Ashley Shaw,0,0,9,5,0,-1.00976,-1.25703,-0.707708,-1.38109,2,2,12,45,53
King-Parsons,Connor Graham,0,0,14,2,0,-1.09971,-0.984738,-0.846416,0.0198403,15,39,44,15,15
King-Parsons,Christopher Woods,0,0,11,5,0,0.0635785,0.586742,0.286151,0.335829,13,22,35,27,28
King-Parsons,Holly White,0,0,5,2,0,-0.701029,0.553509,0.64607,-0.0273333,23,37,51,6,11
King-Parsons,Gerard Richardson,0,0,9,2,0,-1.42174,-1.33061,-1.11111,-0.571624,7,19,32,34,33
King-Parsons,Lynne Hunt,0,0,10,2,0,0.727305,1.28915,1.50091,-0.718901,13,37,44,21,14
King-Parsons,Ashley Wallace,0,0,11,2,0,-1.03231,-1.53342,-1.8007,-0.0199075,10,25,34,41,32
King-Parsons,Yvonne Mills,0,0,6,6,0,0.557114,-0.39064,0.0391266,1.39542,12,18,38,25,25
King-Parsons,Pamela Mitchell,0,0,17,1,0,-0.805323,-0.782634,-0.795376,-0.527706,-1,5,6,51,52
King-Parsons,Benjamin Martin,0,0,12,3,0,-0.971506,-1.23162,-0.503275,-0.63597,19,20,36,33,35
King-Parsons,Liam Greenwood,0,0,0,2,0,-1.09587,-0.649936,-1.14834,-1.30206,3,17,26,34,53
King-Parsons,Mohammad Stephenson,0,0,2,4,0,-0.120136,0.385837,-0.366095,0.559986,14,37,51,17,16
King-Parsons,Sarah Lawson,0,0,12,4,1,1.56202,2.55536,1.21068,1.06331,14,8,26,34,49
King-Parsons,Elizabeth Cole,0,0,2,5,0,-0.922635,0.221599,-0.379119,-0.34136,7,18,23,37,30
King-Parsons,Hugh Rowe,0,0,0,1,0,-0.94935,-1.57755,-0.731167,-1.21373,22,20,42,11,15
King-Parsons,Gail James,0,0,15,2,0,1.14809,1.69217,1.25468,-0.311737,6,34,61,25,18
King-Parsons,Francesca Austin,0,0,2,3,1,1.34049,2.25771,0.433068,0.993291,8,11,11,47,45
King-Parsons,Lawrence Barlow,0,0,9,1,0,-0.772343,-0.025724,-1.28078,-0.90084,11,15,38,25,26
King-Parsons,Vanessa Woods,0,0,15,5,0,-0.589647,-0.211231,0.300022,-1.77954,2,3,6,45,54
King-Parsons,Carole Moss,0,0,2,4,0,-0.0461358,0.386837,-0.341095,0.511986,14,33,53,22,13
King-Parsons,Lucy Griffiths,0,0,17,3,0,2.36311,-0.176162,-1.2249,-0.314305,-1,3,2,52,63
King-Parsons,Jade Roberts,0,0,1,2,0,-0.542904,0.421927,-0.585245,1.57107,11,20,18,38,43
King-Parsons,Marc Cook,0,0,12,4,0,0.428869,0.153474,-0.425895,0.111617,19,38,58,10,11
King-Parsons,Amelia Bibi,0,0,6,1,0,0.363215,0.12957,0.107052,1.11424,11,20,23,42,27
King-Parsons,Carole Thomas,0,0,11,3,0,-0.849696,-0.971693,-0.741932,-0.605486,24,36,60,5,4
King-Parsons,Scott Harrison,0,1,12,2,0,-0.598354,-0.263717,-0.551368,0.476527,4,10,6,66,51
King-Parsons,Joshua Cook,0,1,0,5,0,0.615454,-0.611549,-0.350229,1.07721,16,18,44,22,31
King-Parsons,Ruth Hall,0,0,9,4,0,-0.508923,-0.310667,-0.223702,-1.24931,5,6,6,60,70
King-Parsons,Hannah Hardy,0,0,9,1,0,-0.859821,-0.86294,-0.553849,-1.24302,5,8,18,52,46
King-Parsons,Megan Knight,0,0,4,2,0,-0.482354,-1.22982,0.414642,-0.879496,16,40,62,2,-1
King-Parsons,Aimee Williams,1,0,17,1,0,-0.691246,0.498033,3.42347,0.0886652,13,26,45,11,15
King-Parsons,Marc Andrews,0,0,10,5,0,0.851632,1.40947,0.272073,-0.377053,16,32,38,16,20
King-Parsons,Kim Lewis,0,0,14,5,0,0.0602562,-0.683036,0.749707,-0.130354,10,24,53,18,15
"Gardiner, Smith and Williams",Daniel Smith,0,0,12,6,0,0.679241,-0.800408,0.0899207,0.30295,15,19,34,19,27
"Gardiner, Smith and Williams",Teresa Miller,0,0,17,3,0,2.44611,-0.324162,-1.1489,-0.284305,-4,5,3,50,62
"Gardiner, Smith and Williams",Hayley Webb,0,0,11,5,0,-0.634295,-0.515591,-0.267416,-0.407533,13,27,51,12,6
"Gardiner, Smith and Williams",Kieran Ali,0,0,12,1,0,2.7785,-0.291611,-0.947031,-0.838891,15,41,59,10,6
"Gardiner, Smith and Williams",Leah Young,0,0,7,6,0,-1.04993,-1.54916,-1.30517,-0.47895,10,30,41,21,14
"Gardiner, Smith and Williams",Valerie Leach,1,0,1,3,0,-0.670518,0.136505,1.70039,-1.57989,4,36,29,20,29
"Gardiner, Smith and Williams",Liam Hurst,0,0,17,1,0,-1.07985,-0.872256,-0.28893,-0.882234,5,8,10,62,53
"Gardiner, Smith and Williams",Darren Clarke,0,0,1,4,0,1.15612,1.40524,-0.708237,0.0143381,2,5,11,56,50
"Gardiner, Smith and Williams",Timothy Jones,0,0,17,3,0,-0.39364,-0.855878,0.859222,-0.0743537,10,19,38,27,28
"Gardiner, Smith and Williams",Jasmine Hamilton,0,0,9,1,0,-0.15538,0.310211,-0.832034,-0.41781,12,29,47,7,13
"Gardiner, Smith and Williams",Maria Morris,0,0,2,5,1,2.18669,2.88878,0.804837,0.931118,0,12,18,47,53
"Gardiner, Smith and Williams",Ryan Robinson,0,0,16,5,1,0.862629,0.322991,1.85232,1.31201,7,10,15,47,55
"Gardiner, Smith and Williams",Marion Kelly,0,0,3,4,0,0.205557,1.3473,-0.180721,0.874879,13,25,40,19,28
"Gardiner, Smith and Williams",Zoe Yates,0,0,5,5,0,-1.02741,0.215782,-0.753296,-0.0222504,20,37,57,17,14
"Gardiner, Smith and Williams",Stewart Watkins,0,0,2,3,0,-0.105593,0.478015,0.855629,-0.620521,13,31,45,14,20
"Gardiner, Smith and Williams",Brenda Parkinson,0,0,3,6,0,-0.328936,-0.767762,-0.697857,1.30489,5,17,31,24,30
"Gardiner, Smith and Williams",Maria Wade,0,0,6,6,0,-1.23238,-1.08967,-1.06286,-0.245687,9,26,32,25,32
"Gardiner, Smith and Williams",Natalie Jones,0,0,3,4,0,-0.832108,-0.900183,0.0267014,0.728184,6,14,24,35,52
"Gardiner, Smith and Williams",Russell Hartley,1,0,9,2,0,-0.95839,-1.01058,-0.320742,-0.782405,3,6,14,44,50
"Gardiner, Smith and Williams",Pamela Gardner,0,0,17,1,0,-0.957996,-0.445915,-0.501734,-0.18384,2,11,27,43,37
"Gardiner, Smith and Williams",Janet White,0,0,17,5,0,0.094393,0.793137,1.9608,-1.3214,16,32,51,16,18
